record_label,state,district,taluk,village,pincode,latitude,longitude,land_area_acres,land_type,soil_type,irrigation_type,water_availability_score,crop_type,crop_yield_per_acre,season,distance_to_road_km,distance_to_highway_km,distance_to_city_km,distance_to_market_km,nearby_projects,avg_land_price_per_acre,guideline_value,previous_compensation,acquisition_type,urgency_level,market_value,multiplier,solatium,final_compensation_amount
SYNTHETIC,Gujarat,Rajkot,Nagpur,Konda Road,365390,23.440372,71.951146,8.223,commercial,alluvial,rainfed,7,cotton,9.43,zaid,0.72,77.61,166.66,11.01,none,288959.45,204145.45,281093.4,railway,critical,288959.45,2.0,288959.45,7419335.61
SYNTHETIC,Uttar Pradesh,Agra,Kolhapur,Chahal Zila,261267,27.709936,77.357668,30.573,forest,black,borewell,9,fallow,1.93,rabi,11.62,1.77,46.95,12.43,industrial_zone,963915.21,859444.36,,highway,critical,963915.21,1.0,963915.21,54448730.43
SYNTHETIC,Tamil Nadu,Tiruchirappalli,Patna,Chander Nagar,611021,10.912381,78.550854,9.65,residential,red,drip,7,cotton,13.98,perennial,9.86,45.85,104.65,48.08,railway,2035216.18,1605566.26,2413974.23,irrigation_project,high,2035216.18,2.0,2035216.18,54471211.37
SYNTHETIC,Maharashtra,Pune,Muzaffarpur,Bala Circle,402568,20.619591,74.24934,0.773,commercial,alluvial,canal,8,sugarcane,354.25,kharif,27.8,52.26,183.08,42.58,none,353550.34,258016.23,377015.1,smart_city,critical,353550.34,2.0,353550.34,849460.63
SYNTHETIC,Telangana,Nizamabad,Bongaigaon,Kannan Marg,505056,17.37,81.469876,42.521,forest,red,rainfed,3,sugarcane,206.29,zaid,14.31,45.28,139.41,7.4,highway,964327.73,647132.79,1002463.21,railway,low,964327.73,2.0,964327.73,127348615.25
SYNTHETIC,Madhya Pradesh,Ujjain,Giridih,Ahuja Road,463627,23.515758,81.066242,16.555,waste,black,canal,6,fallow,1.3,kharif,24.56,68.93,2.38,25.78,none,411499.74,264163.44,484402.63,industrial,critical,411499.74,1.0,411499.74,13870631.05
SYNTHETIC,West Bengal,Kolkata,Bhusawal,Mall Path,735232,21.876375,87.214095,12.72,residential,alluvial,canal,10,paddy,34.95,zaid,18.33,40.46,11.24,14.29,railway,946323.6,615785.26,1130156.59,defence,critical,946323.6,1.0,946323.6,24998085.71
SYNTHETIC,Maharashtra,Kolhapur,Thrissur,Chaudry Path,417777,19.717943,77.04693,4.969,agricultural,black,drip,8,groundnut,13.57,zaid,17.77,54.37,4.3,25.85,none,3794294.28,2508135.71,3622390.51,railway,critical,3794294.28,1.0,3794294.28,35539895.07
SYNTHETIC,Maharashtra,Nashik,Nadiad,Parmer Zila,418120,16.337578,80.274957,43.928,commercial,laterite,borewell,6,cotton,13.3,rabi,29.89,77.25,112.1,44.19,none,1087346.84,918944.26,1242326.08,smart_city,high,1087346.84,2.0,1087346.84,149891258.95
SYNTHETIC,Maharashtra,Aurangabad,Mahbubnagar,Bassi Road,414199,19.541789,72.676336,5.523,commercial,black,none,2,wheat,18.31,zaid,19.59,18.33,142.72,12.24,none,1688700.45,1397182.65,1795164.83,highway,critical,1688700.45,2.0,1688700.45,27662892.16
SYNTHETIC,Uttar Pradesh,Prayagraj,Jorhat,Radhakrishnan Zila,225895,27.965515,83.120047,25.381,waste,black,none,4,sugarcane,314.4,perennial,19.4,14.58,188.15,47.72,railway,211729.62,128183.19,205647.4,irrigation_project,critical,211729.62,2.0,211729.62,15757004.79
